,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,BARCODE_str,AGE_WHEN_CREATION,PURCHASE_DATE_CT,AGE_WHEN_PURCHASING,AGE_WHEN_PURCHASING_MO,TIME_AS_USER_WHEN_PURCHASING,TIME_AS_USER_WHEN_PURCHASING_MO
206,59725916e4b01bd2053089fe,2017-07-21 19:42:14+00:00,1977-11-02 00:00:00+00:00,FL,en,female,e542e1e3-f463-4385-8e69-8e79d52e7241,2024-07-05,2024-07-07 11:03:59.418 Z,SAVE A LOT,59725916e4b01bd2053089fe,,zero,2.99,0.0,2.99,nan,39.0,2024-07-05 00:00:00+00:00,46.0,560.0,6.0,83.0
207,59725916e4b01bd2053089fe,2017-07-21 19:42:14+00:00,1977-11-02 00:00:00+00:00,FL,en,female,e542e1e3-f463-4385-8e69-8e79d52e7241,2024-07-05,2024-07-07 11:03:59.418 Z,SAVE A LOT,59725916e4b01bd2053089fe,,1.00,2.99,1.0,2.99,nan,39.0,2024-07-05 00:00:00+00:00,46.0,560.0,6.0,83.0
208,5f222804d52f48146ba7112e,2020-07-30 01:53:09+00:00,1969-04-17 05:00:00+00:00,KY,en,female,a7f47ea2-39d0-416a-bb91-658c5aee56eb,2024-08-27,2024-08-30 20:34:43.015 Z,WALMART,5f222804d52f48146ba7112e,40000596356.0,1.00, ,1.0,,40000596356.0,51.0,2024-08-27 00:00:00+00:00,55.0,664.0,4.0,48.0
209,5f222804d52f48146ba7112e,2020-07-30 01:53:09+00:00,1969-04-17 05:00:00+00:00,KY,en,female,c0cad009-38a3-4009-9c84-c935c4429cdb,2024-08-11,2024-08-17 21:26:16.472 Z,PIC PAC SUPERMARKET,5f222804d52f48146ba7112e,884912111715.0,1.00, ,1.0,,884912111715.0,51.0,2024-08-11 00:00:00+00:00,55.0,663.0,4.0,48.0
210,5f222804d52f48146ba7112e,2020-07-30 01:53:09+00:00,1969-04-17 05:00:00+00:00,KY,en,female,c0cad009-38a3-4009-9c84-c935c4429cdb,2024-08-11,2024-08-17 21:26:16.472 Z,PIC PAC SUPERMARKET,5f222804d52f48146ba7112e,884912111715.0,1.00,5.39,1.0,5.39,884912111715.0,51.0,2024-08-11 00:00:00+00:00,55.0,663.0,4.0,48.0
211,5f222804d52f48146ba7112e,2020-07-30 01:53:09+00:00,1969-04-17 05:00:00+00:00,KY,en,female,a7f47ea2-39d0-416a-bb91-658c5aee56eb,2024-08-27,2024-08-30 20:34:43.015 Z,WALMART,5f222804d52f48146ba7112e,40000596356.0,1.00,0.75,1.0,0.75,40000596356.0,51.0,2024-08-27 00:00:00+00:00,55.0,664.0,4.0,48.0
212,60fc58c6d7a7355d5afb7c84,2021-07-24 18:15:34+00:00,1964-11-29 00:00:00+00:00,PA,en,female,4dd1d2c6-6cf1-4a47-aef7-2a8678b8bf33,2024-07-01,2024-07-02 10:41:32.891 Z,WALMART,60fc58c6d7a7355d5afb7c84,22200004909.0,zero,2.47,0.0,2.47,22200004909.0,56.0,2024-07-01 00:00:00+00:00,59.0,715.0,2.0,35.0
213,60fc58c6d7a7355d5afb7c84,2021-07-24 18:15:34+00:00,1964-11-29 00:00:00+00:00,PA,en,female,4dd1d2c6-6cf1-4a47-aef7-2a8678b8bf33,2024-07-01,2024-07-02 10:41:32.891 Z,WALMART,60fc58c6d7a7355d5afb7c84,78742371085.0,1.00, ,1.0,,78742371085.0,56.0,2024-07-01 00:00:00+00:00,59.0,715.0,2.0,35.0
214,60fc58c6d7a7355d5afb7c84,2021-07-24 18:15:34+00:00,1964-11-29 00:00:00+00:00,PA,en,female,4dd1d2c6-6cf1-4a47-aef7-2a8678b8bf33,2024-07-01,2024-07-02 10:41:32.891 Z,WALMART,60fc58c6d7a7355d5afb7c84,78742371085.0,1.00,3.12,1.0,3.12,78742371085.0,56.0,2024-07-01 00:00:00+00:00,59.0,715.0,2.0,35.0
215,60fc58c6d7a7355d5afb7c84,2021-07-24 18:15:34+00:00,1964-11-29 00:00:00+00:00,PA,en,female,4dd1d2c6-6cf1-4a47-aef7-2a8678b8bf33,2024-07-01,2024-07-02 10:41:32.891 Z,WALMART,60fc58c6d7a7355d5afb7c84,22200004909.0,1.00,2.47,1.0,2.47,22200004909.0,56.0,2024-07-01 00:00:00+00:00,59.0,715.0,2.0,35.0
